sys_sch,SystemId,SystemName,SchoolId,SchoolName,Grade14,Achievement14E,Progress14E,Gap14E,Challenge14E,CCRPIScore14E,performance14_1E,performance14_2E,performance14_3E,performance14_4E,performance14_9E,performance14_10E,Achievement13E,Progress13E,Gap13E,Challenge13E,CCRPIScore13E,performance13_1E,performance13_2E,performance13_3E,performance13_4E,Achievement12E,Progress12E,Gap12E,Challenge12E,CCRPIScore12E,performance12_1E,performance12_2E,performance12_3E,performance12_4E,Achievement14H,Progress14H,Gap14H,Challenge14H,CCRPIScore14H,performance14_2H,performance14_3H,performance14_6H,performance14_7H,performance14_11H,performance14_12H,performance14_17H,Achievement13H,Progress13H,Gap13H,Challenge13H,CCRPIScore13H,performance13_2H,performance13_3H,performance13_6H,performance13_7H,Achievement12H,Progress12H,Gap12H,Challenge12H,CCRPIScore12H,performance12_2H,performance12_6H,performance12_7H,Achievement14M,Progress14M,Gap14M,Challenge14M,CCRPIScore14M,performance14_1M,performance14_2M,performance14_3M,performance14_4M,performance14_9M,Achievement13M,Progress13M,Gap13M,Challenge13M,CCRPIScore13M,performance13_1M,performance13_2M,performance13_3M,performance13_4M,Achievement12M,Progress12M,Gap12M,Challenge12M,CCRPIScore12M,performance12_1M,performance12_2M,performance12_3M,performance12_4M,SingleScore14,SingleScore13,SingleScore12,enrollment_count,enroll_percent_asian,enroll_percent_native,enroll_percent_black,enroll_percent_hispanic,enroll_percent_multiracial,enroll_percent_white,enroll_percent_ed,enroll_percent_swd,enroll_percent_lep,Grades,Phone_Number,Street,City,State,Zip_Code,enroll_E_12,enroll_H_12,enroll_M_12,total_enroll12,E_pct_12,M_pct_12,H_pct_12,enroll_E_13,enroll_H_13,enroll_M_13,total_enroll13,E_pct_13,M_pct_13,H_pct_13,enroll_E_14,enroll_H_14,enroll_M_14,total_enroll14,E_pct_14,M_pct_14,H_pct_14,Grade13,Grade12
601103,601,Appling County,103,Appling County High School,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3,15.9,6.3,2.6,69.1,90.7,39,77.3,79.5,68.7,30,82.4,43.3,17,8.7,4.2,73.2,91,33.6,79.7,78.7,42.1,15.3,12.5,3.5,73.4,91,71.4,66.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0999984741211,73.1999969482422,73.4000015258789,1005,1,0,23,10,2,64,72,14.6000003814697,2,9-12,(912) 367-8610,482 Blackshear Hwy,Baxley,GA,31513,,1019,,1019,,,1,,1055,,1055,,,1,,1065,,1065,,,1,C,C
6011050,601,Appling County,1050,Altamaha Elementary School,C,49.2,14.6,4,6,73.8,92.7,94.5,88.4,87.2,62.7,70.6,48,14.9,5,1.1,69,92.2,94.8,87.7,81.8,49.5,17,9,4.2,79.7,95.8,95.8,88.7,85.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.8000030517578,69,79.6999969482422,327,0,0,5,6,2,87,72,10.6999998092651,4,K-5,(912) 367-3713,344 Altamaha School Rd,Baxley,GA,31513,369,,,369,1,,,353,,,353,1,,,348,,,348,1,,,D,C
601177,601,Appling County,177,Appling County Elementary School,F,42,12.9,1,1.5,57.4,81.9,93.7,74.4,70.9,49.5,53.1,43.4,15.2,3,1.5,63.1,85.2,91.7,82.5,75.8,44.2,15.2,5,3,67.4,92.7,92.3,82.8,76.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.4000015258789,63.0999984741211,67.4000015258789,550,1,0,31,16,4,49,87,14.1999998092651,9,2-5,(912) 367-8640,680 Blackshear Hwy,Baxley,GA,31513,577,,,577,1,,,570,,,570,1,,,613,,,613,1,,,D,D
601195,601,Appling County,195,Appling County Middle School,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8,16.8,7,4.7,78.3,95.2,97.2,89.1,83.9,74.1,47.8,16.7,8,4.6,77.1,94.8,96.6,89.4,82.1,45.7,16.3,13,3.1,78.1,95.2,96.2,87.3,81.2,78.3000030517578,77.0999984741211,78.0999984741211,756,1,0,21,13,3,63,73,10.6999998092651,2,6-8,(912) 367-8630,2997 Blackshear Hwy,Baxley,GA,31513,,,813,813,,1,,,,803,803,,1,,,,809,809,,1,,C,C
601277,601,Appling County,277,Appling County Primary School,B,53,NA,NA,0,88.3,86.6,98.8,77.3,,,,54,,,0.5,90.5,82.7,92.1,78.7,,51.6,,,0.5,86.5,94.4,94.4,75.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.3000030517578,90.5,86.5,615,1,0,30,19,3,47,94,11.8999996185303,19,K-2,(912) 367-8642,678 Blackshear Hwy,Baxley,GA,31513,670,,,670,1,,,654,,,654,1,,,678,,,678,1,,,A,B
6015050,601,Appling County,5050,Fourth District Elementary School,D,42.1,16.5,6,0.5,65.1,83.1,94.9,72.9,71.2,57.1,54.5,43.8,13.2,,0.5,67.6,88.7,90.6,79.2,73.6,42.4,16.1,0,3.8,62.3,92.9,94.6,83.9,80.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0999984741211,67.5999984741211,62.2999992370605,136,0,0,7,7,4,82,84,9.60000038146973,2,K-5,(912) 367-3250,13396 Blackshear Hwy,Surrency,GA,31563,129,,,129,1,,,152,,,152,1,,,153,,,153,1,,,D,D
602103,602,Atkinson County,103,Atkinson County High School,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5,17.6,8.7,8,79.8,88.9,41.7,,74.5,47.3,71.2,81.9,43.3,16.8,15,10,85.1,91.9,24.1,,65.4,38.1,14.1,3.8,4.4,60.4,81.6,52.9,57.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.8000030517578,85.0999984741211,60.4000015258789,465,0,0,20,33,0,47,80,12,4,9-12,(912) 422-3267,145 Rebel Ln,Pearson,GA,31642,,452,,452,,,1,,499,,499,,,1,,492,,492,,,1,B,D
602111,602,Atkinson County,111,Atkinson County Middle School,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.6,14.1,8,2.7,72.4,93.5,96.1,84.7,74.1,78.5,45.3,14.4,9,4,72.7,91.5,93.8,84.1,68.8,44.3,15.4,9,3.3,72,91.5,92.9,82.2,65.5,72.4000015258789,72.6999969482422,72,403,0,0,16,35,2,46,86,15.3999996185303,4,6-8,(912) 422-3267,145 Rebel Ln,Pearson,GA,31642,,,412,412,,1,,,,411,411,,1,,,,441,441,,1,,C,C
602187,602,Atkinson County,187,Willacoochee Elementary School,A,49.9,16.2,15,9.5,90.6,95.6,98.9,91.1,93.3,79.4,60.9,47.5,15.6,12,9,84.1,94,95.2,91.7,88.1,44.4,16.6,4,5,70,87.1,94.7,86.2,77.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.5999984741211,84.0999984741211,70,214,0,0,26,25,1,48,91,14,10,K-5,(912) 534-5302,430 Vickers St S,Willacoochee,GA,31650,237,,,237,1,,,235,,,235,1,,,247,,,247,1,,,B,C
602190,602,Atkinson County,190,Pearson Elementary School,A,50.7,17.6,14,9.8,92.1,95.1,97.7,93.9,86.4,65.8,69.1,48.5,16.3,5,9.8,79.6,94.7,96.1,88.1,82,42.2,19.3,12,9.3,82.8,94.4,94.4,91.3,85.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0999984741211,79.5999984741211,82.8000030517578,564,0,0,15,39,2,45,86,12.8000001907349,24,K-5,(912) 422-3882,563 King St N,Pearson,GA,31642,661,,,661,1,,,637,,,637,1,,,624,,,624,1,,,C,B
